index,labels,comment_sentence,comment_clean,combo,combo_clean
   */",monotonic time replica created," /**
   * Monotonic time at which the replica was created.
   */ | ShortCircuitReplica.java",monotonic time replica created | shortcircuitreplica java
1316,"[1, 0, 0, 0, 0, 0, 0]","
  /**
   * Current mmap state.
   *
   * Protected by the cache lock.
   */",current mmap state protected cache lock,"
  /**
   * Current mmap state.
   *
   * Protected by the cache lock.
   */ | ShortCircuitReplica.java",current mmap state protected cache lock | shortcircuitreplica java
1317,"[1, 0, 0, 0, 0, 0, 0]","  /**
   * True if this replica has been purged from the cache; false otherwise.
   *
   * Protected by the cache lock.
   */",true replica purged cache false otherwise protected cache lock,"  /**
   * True if this replica has been purged from the cache; false otherwise.
   *
   * Protected by the cache lock.
   */ | ShortCircuitReplica.java",true replica purged cache false otherwise protected cache lock | shortcircuitreplica java
1318,"[0, 0, 1, 0, 0, 0, 0]"," /**
   * Number of external references to this replica.  Replicas are referenced
   * by the cache, BlockReaderLocal instances, and by ClientMmap instances.
   * The number starts at 2 because when we create a replica, it is referenced
   * by both the cache and the requester.
   *
   * Protected by the cache lock.
   */",number external reference replica replica referenced cache blockreaderlocal instance clientmmap instance number start create replica referenced cache requester protected cache lock," /**
   * Number of external references to this replica.  Replicas are referenced
   * by the cache, BlockReaderLocal instances, and by ClientMmap instances.
   * The number starts at 2 because when we create a replica, it is referenced
   * by both the cache and the requester.
   *
   * Protected by the cache lock.
   */ | ShortCircuitReplica.java",number external reference replica replica referenced cache blockreaderlocal instance clientmmap instance number start create replica referenced cache requester protected cache lock | shortcircuitreplica java
1319,"[0, 0, 1, 0, 0, 0, 0]","/**
   * The monotonic time in nanoseconds at which the replica became evictable, or
   * null if it is not evictable.
   *
   * Protected by the cache lock.
   */",monotonic time nanosecond replica became evictable null evictable protected cache lock,"/**
   * The monotonic time in nanoseconds at which the replica became evictable, or
   * null if it is not evictable.
   *
   * Protected by the cache lock.
   */ | ShortCircuitReplica.java",monotonic time nanosecond replica became evictable null evictable protected cache lock | shortcircuitreplica java
1320,"[1, 0, 0, 0, 0, 0, 0]"," /**
   * Check if the replica is stale.
   *
   * Must be called with the cache lock held.
   */",check replica stale must called cache lock held," /**
   * Check if the replica is stale.
   *
   * Must be called with the cache lock held.
   */ | ShortCircuitReplica.java",check replica stale must called cache lock held | shortcircuitreplica java
1321,"[1, 0, 0, 0, 0, 0, 0]",      // communicate with the DataNode.,communicate datanode,      // communicate with the DataNode. | ShortCircuitReplica.java,communicate datanode | shortcircuitreplica java
1322,"[1, 0, 0, 0, 0, 0, 0]","      // Fall back to old, time-based staleness method.",fall back old time based staleness method,"      // Fall back to old, time-based staleness method. | ShortCircuitReplica.java",fall back old time based staleness method | shortcircuitreplica java
1323,"[0, 0, 1, 0, 0, 0, 0]","  /**
   * Try to add a no-checksum anchor to our shared memory slot.
   *
   * It is only possible to add this anchor when the block is mlocked on the Datanode.
   * The DataNode will not munlock the block until the number of no-checksum anchors
   * for the block reaches zero.
   *
   * This method does not require any synchronization.
   *
   * @return     True if we successfully added a no-checksum anchor.
   */",try add checksum anchor shared memory slot possible add anchor block mlocked datanode datanode munlock block number checksum anchor block reach zero method require synchronization return true successfully added checksum anchor,"  /**
   * Try to add a no-checksum anchor to our shared memory slot.
   *
   * It is only possible to add this anchor when the block is mlocked on the Datanode.
   * The DataNode will not munlock the block until the number of no-checksum anchors
   * for the block reaches zero.
   *
   * This method does not require any synchronization.
   *
   * @return     True if we successfully added a no-checksum anchor.
   */ | ShortCircuitReplica.java",try add checksum anchor shared memory slot possible add anchor block mlocked datanode datanode munlock block number checksum anchor block reach zero method require synchronization return true successfully added checksum anchor | shortcircuitreplica java
1324,"[1, 0, 0, 0, 0, 0, 0]","/**
   * Remove a no-checksum anchor for our shared memory slot.
   *
   * This method does not require any synchronization.
   */",remove checksum anchor shared memory slot method require synchronization,"/**
   * Remove a no-checksum anchor for our shared memory slot.
   *
   * This method does not require any synchronization.
   */ | ShortCircuitReplica.java",remove checksum anchor shared memory slot method require synchronization | shortcircuitreplica java
1325,"[1, 0, 0, 0, 0, 0, 0]"," /**
   * Check if the replica has an associated mmap that has been fully loaded.
   *
   * Must be called with the cache lock held.
   */",check replica associated mmap fully loaded must called cache lock held," /**
   * Check if the replica has an associated mmap that has been fully loaded.
   *
   * Must be called with the cache lock held.
   */ | ShortCircuitReplica.java",check replica associated mmap fully loaded must called cache lock held | shortcircuitreplica java
1326,"[1, 0, 0, 0, 0, 0, 0]"," /**
   * Free the mmap associated with this replica.
   *
   * Must be called with the cache lock held.
   */",free mmap associated replica must called cache lock held," /**
   * Free the mmap associated with this replica.
   *
   * Must be called with the cache lock held.
   */ | ShortCircuitReplica.java",free mmap associated replica must called cache lock held | shortcircuitreplica java
1327,"[1, 0, 0, 0, 0, 0, 0]","  /**
   * Close the replica.
   *
   * Must be called after there are no more references to the replica in the
   * cache or elsewhere.
   */",close replica must called reference replica cache elsewhere,"  /**
   * Close the replica.
   *
   * Must be called after there are no more references to the replica in the
   * cache or elsewhere.
   */ | ShortCircuitReplica.java",close replica must called reference replica cache elsewhere | shortcircuitreplica java
1328,"[1, 0, 0, 0, 0, 0, 0]",   * Get the evictable time in nanoseconds.,get evictable time nanosecond,   * Get the evictable time in nanoseconds. | ShortCircuitReplica.java,get evictable time nanosecond | shortcircuitreplica java
1329,"[1, 0, 0, 0, 0, 0, 0]",   * Set the evictable time in nanoseconds.,set evictable time nanosecond,   * Set the evictable time in nanoseconds. | ShortCircuitReplica.java,set evictable time nanosecond | shortcircuitreplica java
1330,"[1, 0, 0, 0, 0, 0, 0]"," Convert the replica to a string for debugging purposes.
   * Note that we can't take the lock here.",convert replica string debugging purpose note take lock," Convert the replica to a string for debugging purposes.
   * Note that we can't take the lock here. | ShortCircuitReplica.java",convert replica string debugging purpose note take lock | shortcircuitreplica java
1331,"[1, 0, 0, 0, 0, 0, 0]","// launch config added will get called below to add it to the
				// configs map",launch config added get called add configs map,"// launch config added will get called below to add it to the
				// configs map | CMakeLocalLaunchConfigurationProvider.java",launch config added get called add configs map | cmakelocallaunchconfigurationprovider java
1332,"[1, 0, 0, 0, 0, 0, 0]",		// Set the project and the connection,set project connection,		// Set the project and the connection | CMakeLocalLaunchConfigurationProvider.java,set project connection | cmakelocallaunchconfigurationprovider java
1333,"[1, 0, 0, 0, 0, 0, 0]",		// nothing to do since the Local connection can't be removed,nothing since local connection removed,		// nothing to do since the Local connection can't be removed | CMakeLocalLaunchConfigurationProvider.java,nothing since local connection removed | cmakelocallaunchconfigurationprovider java
1334,"[0, 0, 0, 0, 1, 0, 0]",@link com.google.inject.Binder,link com google inject binder,@link com.google.inject.Binder | ScopedBindingBuilder.java,link com google inject binder | scopedbindingbuilder java
1335,"[0, 0, 0, 0, 1, 0, 0]",@link com.google.inject.Injector,link com google inject injector,@link com.google.inject.Injector | ScopedBindingBuilder.java,link com google inject injector | scopedbindingbuilder java
1336,"[1, 0, 0, 0, 0, 0, 0]",See the EDSL examples at {@link com.google.inject.Binder}.,see edsl example link com google inject binder,See the EDSL examples at {@link com.google.inject.Binder}. | ScopedBindingBuilder.java,see edsl example link com google inject binder | scopedbindingbuilder java
1337,"[1, 0, 0, 0, 0, 0, 0]",   * See the EDSL examples at {@link com.google.inject.Binder}.,see edsl example link com google inject binder,   * See the EDSL examples at {@link com.google.inject.Binder}. | ScopedBindingBuilder.java,see edsl example link com google inject binder | scopedbindingbuilder java
1338,"[1, 0, 0, 0, 0, 0, 0]","Instructs the {@link com.google.inject.Injector} to eagerly initialize this
   * singleton-scoped binding upon creation. Useful for application
   * initialization logic.  See the EDSL examples at",instructs link com google inject injector eagerly initialize singleton scoped binding upon creation useful application initialization logic see edsl example,"Instructs the {@link com.google.inject.Injector} to eagerly initialize this
   * singleton-scoped binding upon creation. Useful for application
   * initialization logic.  See the EDSL examples at | ScopedBindingBuilder.java",instructs link com google inject injector eagerly initialize singleton scoped binding upon creation useful application initialization logic see edsl example | scopedbindingbuilder java
1339,"[1, 0, 0, 0, 0, 0, 0]",        // Removing this line causes the tree to show normally in Firefox,removing line cause tree show normally firefox,        // Removing this line causes the tree to show normally in Firefox | PreselectedTreeVisible.java,removing line cause tree show normally firefox | preselectedtreevisible java
